
build graph,create the MST,find the affinity matrix,laplacian,find eigin vectors,cluster analysis,
1135.0, -1.397888577667E12, -2.795777156469E12, -4.193665735271E12, -5.591554314073E12, -6.989442892875E12, 

1125.0, -1.397888620176E12, -2.795777241477E12, -4.193665862778E12, -5.591554484079E12, -6.98944310538E12, 

886.0, -1.397888658846E12, -2.795777318578E12, -4.19366597831E12, -5.591554638042E12, -6.989443297774E12, 

764.0, -1.397888688476E12, -2.795777377716E12, -4.193666066956E12, -5.591554756196E12, -6.989443445436E12, 
